1,KABUPATEN/KOTA,25886,JAKARTA UTARA,258716,308666,567382
2,KECAMATAN,25887,PENJARINGAN,43759,114244,158003
2,KECAMATAN,25893,TANJUNG PRIOK,81605,119515,201120
2,KECAMATAN,25901,KOJA,76160,79492,155652
2,KECAMATAN,25908,CILINCING,93382,93794,187176
2,KECAMATAN,25916,PADEMANGAN,25556,56042,81598
2,KECAMATAN,25920,KELAPA GADING,22434,54308,76742
1,KABUPATEN/KOTA,25924,JAKARTA BARAT,342896,517395,860291
2,KECAMATAN,25925,CENGKARENG,93992,169742,263734
2,KECAMATAN,25932,GROGOL PETAMBURAN,34891,89315,124206
2,KECAMATAN,25940,TAMAN SARI,22009,46806,68815
2,KECAMATAN,25949,TAMBORA,47244,87464,134708
2,KECAMATAN,25961,KEBON JERUK,81193,94976,176169
2,KECAMATAN,25969,KALIDERES,82413,117760,200173
2,KECAMATAN,25975,PAL MERAH,56840,56627,113467
2,KECAMATAN,25982,KEMBANGAN,61233,79413,140646
1,KABUPATEN/KOTA,25989,JAKARTA SELATAN,479815,742103,1221918
2,KECAMATAN,25990,TEBET,0,0,0
2,KECAMATAN,26052,JAGAKARSA,0,0,0
2,KECAMATAN,26045,PANCORAN,0,0,0
2,KECAMATAN,26034,KEBAYORAN BARU,0,0,0
2,KECAMATAN,26028,CILANDAK,0,0,0
2,KECAMATAN,26021,KEBAYORAN LAMA,0,0,0
2,KECAMATAN,26013,PASAR MINGGU,85216,78402,163618
2,KECAMATAN,26007,MAMPANG PRAPATAN,0,0,0
2,KECAMATAN,25998,SETIABUDI,0,0,0
2,KECAMATAN,26059,PESANGGRAHAN,0,0,0
1,KABUPATEN/KOTA,26065,JAKARTA TIMUR,85216,78402,163618
2,KECAMATAN,26066,MATRAMAN,51239,45677,96916
2,KECAMATAN,26126,CIRACAS,78752,69201,147953
2,KECAMATAN,26120,MAKASAR,56742,51362,108104
2,KECAMATAN,26112,DUREN SAWIT,117132,105800,222932
2,KECAMATAN,26104,CAKUNG,140363,112921,253284
2,KECAMATAN,26098,PASAR REBO,61182,45274,106456
2,KECAMATAN,26090,KRAMATJATI,84430,65653,150083
2,KECAMATAN,26081,JATINEGARA,91053,82591,173644
2,KECAMATAN,26073,PULOGADUNG,74138,81732,155870
2,KECAMATAN,26132,CIPAYUNG,72928,56525,129453
0,PROVINSI,26141,JAWA BARAT,0,0,0
1,KABUPATEN/KOTA,26142,BOGOR,827959,716736,1544695
2,KECAMATAN,26143,CIBINONG,107445,58743,166188
2,KECAMATAN,26495,CIOMAS,53243,27936,81179
2,KECAMATAN,26485,CIJERUK,25985,11818,37803
2,KECAMATAN,26472,CARINGIN,43721,15682,59403
2,KECAMATAN,26460,MEGAMENDUNG,36197,15185,51382
2,KECAMATAN,26449,CISARUA,44885,17662,62547
2,KECAMATAN,26435,CIAWI,38803,15353,54156
2,KECAMATAN,26425,TENJO,18445,12889,31334
2,KECAMATAN,26409,CIGUDEG,33298,21573,54871
2,KECAMATAN,26507,DRAMAGA,33786,23243,57029
2,KECAMATAN,26518,TAMANSARI,31331,20948,52279
2,KECAMATAN,26595,LEUWISADENG,24764,9906,34670
2,KECAMATAN,26585,CIGOMBONG,31090,13430,44520
2,KECAMATAN,26577,TAJURHALANG,31562,21230,52792
2,KECAMATAN,26566,TANJUNGSARI,22245,7669,29914
2,KECAMATAN,26556,SUKAJAYA,23045,11893,34938
2,KECAMATAN,26548,RANCA BUNGUR,17186,11940,29126
2,KECAMATAN,26537,CISEENG,31951,21509,53460
2,KECAMATAN,26527,KLAPANUNGGAL,43103,11655,54758
2,KECAMATAN,26398,NANGGUNG,27599,16992,44591
2,KECAMATAN,26386,PARUNG PANJANG,29093,26034,55127
2,KECAMATAN,26245,SUKAMAKMUR,28131,10448,38579
2,KECAMATAN,26234,CARIU,23549,6800,30349
2,KECAMATAN,26221,CILEUNGSI,83013,39646,122659
2,KECAMATAN,26206,JONGGOL,54417,16908,71325
